Wavenumber (cm⁻¹),Bond,Functional Group
1064.5,C–O stretch,Alcohol / Ether / Ester
2867.1,C–H stretch,"Alkane (CH₃, CH₂)"
939.6,=C–H bend,Aromatic Out-of-Plane / Alkene
1349.4,—,Fingerprint region / Unassigned
3409.5,O–H stretch,Alcohol / Phenol / Carboxylic Acid
545.3,—,Fingerprint region / Unassigned
884.7,=C–H bend,Aromatic Out-of-Plane / Alkene
1248.2,C–O stretch,Alcohol / Ether / Ester
1453.6,C=C ring stretch,Aromatic Ring
580.0,—,Fingerprint region / Unassigned
1647.9,C=C stretch,Alkene / Aromatic
838.9,=C–H bend,Aromatic Out-of-Plane / Alkene
1294.5,C–O stretch,Alcohol / Ether / Ester
